month,year,avg_debit
9,1943,5.215149999999999E-6
10,1943,1.233626451612903E-5
11,1943,2.0643096666666668E-5
12,1943,2.720957741935484E-5
1,1944,1.398541348973607E-5
2,1944,1.7276366771159876E-5
3,1944,1.6272733137829914E-5
4,1944,1.5012554545454549E-5
5,1944,4.184283870967742E-6
6,1944,2.2905966666666663E-6
7,1944,5.9673290322580646E-6
8,1944,7.959409677419353E-6
9,1944,1.5461276666666664E-5
10,1944,3.40035366568915E-5
11,1944,6.701261515151515E-5
12,1944,6.22351231671554E-5
1,1945,1.7990161290322575E-5
2,1945,6.475560714285715E-5
3,1945,1.588906451612903E-5
4,1945,7.736400000000001E-6
5,1945,6.532032258064515E-6
6,1945,2.7749666666666667E-6
7,1945,1.5743225806451614E-6
8,1945,2.027870967741936E-6
9,1945,3.7976000000000003E-6
10,1945,3.4335483870967745E-6
11,1945,6.2075333333333345E-6
12,1945,1.8826741935483867E-5
1,1946,1.2397793548387097E-5
2,1946,2.7776775000000003E-5
3,1946,1.7053990322580645E-5
4,1946,6.792346666666666E-6
5,1946,1.37389870967742E-5
6,1946,1.8198840000000002E-5
7,1946,3.649296774193549E-6
8,1946,3.3915E-6
9,1946,7.433E-6
10,1946,3.3319870967741943E-6
11,1946,6.9990933333333345E-6
12,1946,1.576677419354839E-5
1,1947,2.2222977419354836E-5
2,1947,1.847126785714286E-5
3,1947,4.3700912903225804E-5
4,1947,2.3225210000000003E-5
5,1947,8.615777419354838E-6
6,1947,4.771846666666667E-6
7,1947,2.7358419354838717E-6
8,1947,1.7925096774193548E-6
9,1947,1.048466666666667E-6
10,1947,1.0628903225806452E-6
11,1947,1.0329896666666668E-5
12,1947,1.770593225806452E-5
1,1948,2.8577953763440846E-5
2,1948,1.7150395402298855E-5
3,1948,9.48998817204301E-6
4,1948,1.5823223333333324E-5
5,1948,2.778760215053763E-5
6,1948,2.3809401111111108E-5
7,1948,1.3776296774193548E-5
8,1948,1.2943710752688173E-5
9,1948,1.2045092222222222E-5
10,1948,5.300336559139786E-6
11,1948,7.035933333333334E-6
12,1948,6.120601075268818E-6
1,1949,8.406772112382934E-6
2,1949,4.853358294930876E-6
3,1949,7.807517169614982E-6
4,1949,7.703590322580644E-6
5,1949,1.2205224765868889E-5
6,1949,1.1484577419354839E-5
7,1949,5.732100936524454E-6
8,1949,4.42178355879292E-6
9,1949,4.169235483870963E-6
10,1949,4.288146722164412E-6
11,1949,1.2583640860215052E-5
12,1949,1.3886511966701354E-5
1,1950,7.691510416666667E-6
2,1950,2.3337411290322587E-5
3,1950,1.1227239583333334E-5
4,1950,1.4915646236559142E-5
5,1950,1.7535494382022473E-5
6,1950,1.381008958333333E-5
7,1950,7.269161290322582E-6
8,1950,5.707329637096775E-6
9,1950,6.352245833333333E-6
10,1950,4.9030675403225824E-6
11,1950,2.914761979166667E-5
12,1950,1.6355314549180324E-5
1,1951,1.9991478341013828E-5
2,1951,2.5355666326530607E-5
3,1951,3.6047586175115204E-5
4,1951,2.4384114285714283E-5
5,1951,2.9570879262672816E-5
6,1951,3.902588190476191E-5
7,1951,2.0302863468634687E-5
8,1951,1.3598523502304151E-5
9,1951,9.024560000000002E-6
10,1951,6.631195391705069E-6
11,1951,3.4081406666666665E-5
12,1951,1.2835682949308749E-5
1,1952,2.0604713364055305E-5
2,1952,1.524408078817734E-5
3,1952,2.4007894930875576E-5
4,1952,2.2830845714285718E-5
5,1952,2.0160529032258058E-5
6,1952,1.4659611111111108E-5
7,1952,8.253798387096772E-6
8,1952,6.385743727598566E-6
9,1952,7.053474999999998E-6
10,1952,2.0524958781362008E-5
11,1952,2.966539537037037E-5
12,1952,3.1985858422939075E-5
1,1953,1.055510723626853E-5
2,1953,1.0231083011583009E-5
3,1953,1.1190700087183959E-5
4,1953,1.275441441441441E-5
5,1953,1.3027749999999999E-5
6,1953,1.6057693518518518E-5
7,1953,1.2726317204301074E-5
8,1953,6.613455197132615E-6
9,1953,7.812817592592589E-6
10,1953,1.4184139784946237E-5
11,1953,8.82999351851852E-6
12,1953,8.95953046594982E-6
1,1954,9.201088709677418E-6
2,1954,1.4335892857142856E-5
3,1954,2.280742831541219E-5
4,1954,1.6989006481481485E-5
5,1954,1.6947220430107526E-5
6,1954,1.421302962962963E-5
7,1954,9.177228494623657E-6
8,1954,1.5290287634408602E-5
9,1954,1.097260925925926E-5
10,1954,8.84691845878136E-6
11,1954,1.0513746666666668E-5
12,1954,2.2770073732718895E-5
1,1955,4.2432539898132416E-5
2,1955,3.4012884398496236E-5
3,1955,1.4733930390492362E-5
4,1955,1.4294583333333337E-5
5,1955,1.934387436332767E-5
6,1955,2.6538926315789474E-5
7,1955,1.6412592529711377E-5
8,1955,8.496072156196946E-6
9,1955,7.592751754385966E-6
10,1955,6.62785398981324E-6
11,1955,7.068453028972783E-6
12,1955,1.262032512733447E-5
1,1956,1.500756490952006E-5
2,1956,8.534228522336774E-6
3,1956,1.3527664006384678E-5
4,1956,1.5231513821138207E-5
5,1956,1.7648706530291108E-5
6,1956,1.67768918699187E-5
7,1956,1.424015971675846E-5
8,1956,1.267198505114083E-5
9,1956,1.5580450406504065E-5
10,1956,1.0397715971675846E-5
11,1956,9.842139837398375E-6
12,1956,8.566837922895358E-6
1,1957,9.927612903225803E-6
2,1957,3.4389136206896536E-5
3,1957,1.6141290598290592E-5
4,1957,1.114186746031746E-5
5,1957,1.0665194316436255E-5
6,1957,2.57171344605475E-5
7,1957,1.195914555468135E-5
8,1957,7.281089506172839E-6
9,1957,5.9618658730158715E-6
10,1957,4.457944700460832E-6
11,1957,6.522793322734495E-6
12,1957,9.413595238095238E-6
1,1958,1.7057609546165888E-5
2,1958,2.083790381282496E-5
3,1958,1.8973107919254655E-5
4,1958,1.8583827777777782E-5
5,1958,2.364750460829493E-5
6,1958,1.8306699206349202E-5
7,1958,1.5687221198156682E-5
8,1958,9.798836405529956E-6
9,1958,7.820173015873016E-6
10,1958,1.2442715053763442E-5
11,1958,1.3406456820016141E-5
