month,year,sum_debit
4,1972,62641.423
5,1972,50048.971000000005
6,1972,67657.31599999999
7,1972,48892.40999999999
8,1972,28860.029000000002
9,1972,26906.077999999994
10,1972,34038.754
11,1972,58379.44900000002
12,1972,57001.29500000001
1,1973,45103.341000000015
2,1973,41659.041
3,1973,40350.30500000001
4,1973,39158.272000000004
5,1973,70809.31200000002
6,1973,56527.40200000002
7,1973,57919.54199999995
8,1973,37403.023
9,1973,28827.75400000001
10,1973,43658.23200000001
11,1973,31063.65800000001
12,1973,64544.167000000016
1,1974,53050.246999999996
2,1974,74199.93500000001
3,1974,73064.26699999999
4,1974,50187.661
5,1974,56859.479
6,1974,56141.41400000001
7,1974,41988.41199999999
8,1974,25065.316999999985
9,1974,37784.6
10,1974,64045.403000000006
11,1974,69977.62399999998
12,1974,63382.44500000001
1,1975,63835.98099999999
2,1975,54135.622
3,1975,55640.707
4,1975,67989.59000000003
5,1975,68503.54799999997
6,1975,67638.18499999998
7,1975,52810.24800000002
8,1975,34910.883
9,1975,51054.69400000001
10,1975,36750.156000000025
11,1975,45990.709
12,1975,51711.30000000001
1,1976,33356.897
2,1976,45624.461999999985
3,1976,41944.299999999996
4,1976,36359.27
5,1976,41352.813999999984
6,1976,32236.826999999994
7,1976,27166.000000000004
8,1976,20202.442
9,1976,30744.458999999988
10,1976,77227.342
11,1976,97619.50700000001
12,1976,104544.75400000003
1,1977,79206.917
2,1977,118306.70800000006
3,1977,86118.26699999999
4,1977,84566.922
5,1977,130439.55399999999
6,1977,129165.188
7,1977,96098.85600000001
8,1977,77750.871
9,1977,44741.48499999999
10,1977,59962.204000000005
11,1977,57984.27100000004
12,1977,68582.744
1,1978,72847.18899999998
2,1978,111976.67300000004
3,1978,124659.26499999993
4,1978,93812.01299999999
5,1978,123938.54400000002
6,1978,118804.97500000003
7,1978,89518.098
8,1978,56089.38900000001
9,1978,35237.603999999985
10,1978,28667.128999999997
11,1978,28809.54200000002
12,1978,44345.97899999999
1,1979,68117.92500000002
2,1979,97150.78899999999
3,1979,92856.92400000001
4,1979,87821.17599999993
5,1979,112477.23599999999
6,1979,107352.42800000001
7,1979,52188.256999999976
8,1979,37258.967
9,1979,26769.379999999983
10,1979,72267.04999999999
11,1979,63891.610000000015
12,1979,88394.571
1,1980,85609.61899999996
2,1980,101492.00700000001
3,1980,87218.821
4,1980,68735.15699999998
5,1980,75405.94800000003
6,1980,93989.38999999997
7,1980,93055.265
8,1980,55740.42899999999
9,1980,43286.89099999998
10,1980,67531.89300000004
11,1980,60522.491
12,1980,60140.47599999999
1,1981,76656.23499999999
2,1981,47252.34700000001
3,1981,107279.427
4,1981,89580.62199999999
5,1981,98775.40699999999
6,1981,88059.34499999997
7,1981,70959.75300000003
8,1981,42389.74399999999
9,1981,41671.19
10,1981,75828.00599999998
11,1981,40520.67599999999
12,1981,123328.92600000004
1,1982,115460.88100000002
2,1982,58504.468999999975
3,1982,63901.700999999994
4,1982,57563.78099999999
5,1982,68036.15299999998
6,1982,77274.22900000002
7,1982,49383.038000000015
8,1982,40750.761
9,1982,36471.359
10,1982,76608.601
11,1982,80871.226
12,1982,125790.3120000001
1,1983,63086.22899999999
2,1983,68470.23600000002
3,1983,71368.79499999998
4,1983,116092.82400000001
5,1983,156376.07299999992
6,1983,119703.82500000001
7,1983,79538.066
8,1983,40245.82300000001
9,1983,41397.37299999999
10,1983,36951.849
11,1983,44763.04800000002
12,1983,59261.16699999999
1,1984,75629.02
2,1984,86846.69399999999
3,1984,55112.251999999986
4,1984,73367.718
5,1984,89672.44300000001
6,1984,117793.02900000002
7,1984,67412.427
8,1984,35365.243
9,1984,44684.92099999998
10,1984,70331.04599999999
11,1984,64443.003000000004
12,1984,65617.12099999997
1,1985,67286.366
2,1985,67997.67199999998
3,1985,72124.89999999997
4,1985,88075.75000000003
5,1985,105599.46299999997
6,1985,102246.08299999997
7,1985,63688.08000000001
8,1985,40287.145000000004
9,1985,27981.166999999994
10,1985,27643.88000000001
11,1985,36825.617
12,1985,27330.865000000016
1,1986,60508.739
2,1986,54492.45200000001
3,1986,65478.50400000002
4,1986,129676.138
5,1986,154451.91100000008
6,1986,101805.08299999997
7,1986,61445.69500000001
8,1986,40077.215
9,1986,36602.86099999998
10,1986,33564.12400000001
11,1986,41393.01399999999
12,1986,53448.609000000004
1,1987,66259.00899999999
2,1987,57860.966
3,1987,66145.17700000001
4,1987,95168.65599999996
5,1987,76840.65500000001
6,1987,98858.50600000001
7,1987,94535.02700000002
8,1987,57214.16699999994
9,1987,45582.51099999999
10,1987,86367.86399999999
11,1987,69729.51399999998
12,1987,70318.538
1,1988,98444.96899999995
2,1988,115330.91799999993
3,1988,107454.13399999999
4,1988,99666.176
5,1988,126321.557
6,1988,92501.95700000005
7,1988,82091.79700000002
8,1988,46661.869000000006
9,1988,37194.222000000016
10,1988,61793.917999999976
11,1988,53979.768000000004
12,1988,62586.465999999986
1,1989,29800.688999999995
2,1989,24945.024000000005
3,1989,56347.40600000001
4,1989,79837.88200000001
5,1989,82213.46299999999
6,1989,50489.022999999965
7,1989,42476.075000000004
8,1989,30542.857000000018
9,1989,23009.742000000002
10,1989,24172.818999999996
11,1989,37930.62800000001
12,1989,28301.779999999995
1,1990,26666.682999999994
2,1990,78679.33700000001
3,1990,60292.922999999995
4,1990,47337.25799999998
5,1990,69459.59900000003
6,1990,67829.04599999994
7,1990,53217.97499999998
8,1990,31831.761999999988
9,1990,25589.534999999985
10,1990,43796.03900000001
11,1990,76837.55300000003
12,1990,65703.98599999999
1,1991,69413.103
2,1991,49178.07200000001
3,1991,73369.01100000001
4,1991,55684.386
5,1991,49972.123
6,1991,73631.16399999999
7,1991,51225.45500000002
8,1991,31462.233999999993
9,1991,32601.61799999999
10,1991,57325.184
11,1991,66637.42
12,1991,55366.831
1,1992,46108.31800000001
2,1992,36825.01999999998
3,1992,41778.25499999998
4,1992,63085.18799999998
5,1992,68498.658
6,1992,111166.99800000004
7,1992,85888.98999999999
8,1992,43497.93300000002
9,1992,47947.959
10,1992,95454.84699999998
11,1992,136985.48700000002
12,1992,113960.35699999995
1,1993,51720.67400000002
2,1993,35559.69000000002
3,1993,38849.678000000014
4,1993,60161.95100000002
5,1993,83103.99300000003
6,1993,91019.99
7,1993,69051.18499999997
8,1993,41099.92699999998
9,1993,56536.974999999984
10,1993,131181.467
11,1993,59631.014
12,1993,96077.75799999999
1,1994,156058.401
2,1994,87195.122
3,1994,89939.58099999999
4,1994,105968.21799999996
5,1994,118654.702
