year,region,department,typology,avgTotalPower,sumTotalPower
2015,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,5.957,5.957
2020,HAUTS DE FRANCE,PAS DE CALAIS,Déchets ménagers et biodéchets,11.32,11.32
2020,BRETAGNE,MORBIHAN,Installation de stockage des déchets non dangereux (ISDND),12.092,24.184
2020,NORMANDIE,ORNE,Agricole autonome,8.17325,32.693
2019,GRAND EST,MOSELLE,Agricole territorial,5.505,5.505
2017,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,3.178,3.178
2018,GRAND EST,AUBE,Agricole territorial,16.307000000000002,32.614000000000004
2018,HAUTS DE FRANCE,AISNE,Agricole autonome,4.903,4.903
2021,BRETAGNE,MORBIHAN,Installation de stockage des déchets non dangereux (ISDND),13.00253,26.00506
2020,AUVERGNE RHONE ALPES,ISERE,Boues de stations d'épuration (STEP),11.1255,22.251
2016,HAUTS DE FRANCE,NORD,Agricole autonome,6.726,6.726
2021,NORMANDIE,SEINE MARITIME,Agricole autonome,9.128627999999999,18.257255999999998
2020,AUVERGNE RHONE ALPES,ISERE,Agricole autonome,0.684,0.684
2018,HAUTS DE FRANCE,OISE,Installation de stockage des déchets non dangereux (ISDND),11.718,11.718
2021,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,Agricole autonome,15.362318,15.362318
2021,ILE DE FRANCE,ESSONNE,Installation de stockage des déchets non dangereux (ISDND),5.353955,5.353955
2017,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Boues de stations d'épuration (STEP),13.389,13.389
2020,ILE DE FRANCE,SEINE ET MARNE,Agricole autonome,15.460454545454546,170.065
2020,GRAND EST,VOSGES,Industriel territorial,0.0,0.0
2021,AUVERGNE RHONE ALPES,ISERE,Boues de stations d'épuration (STEP),11.0228215,22.045643
2019,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,Agricole autonome,15.545,15.545
2016,AUVERGNE RHONE ALPES,ISERE,Boues de stations d'épuration (STEP),7.144,7.144
2019,OCCITANIE,TARN,Agricole autonome,9.545,9.545
2019,BRETAGNE,MORBIHAN,Agricole autonome,0.996,0.996
2021,BOURGOGNE FRANCHE COMTE,JURA,Industriel territorial,12.449076999999999,12.449076999999999
2021,HAUTS DE FRANCE,OISE,Agricole autonome,12.038537875,96.308303
2020,NORMANDIE,MANCHE,Agricole autonome,4.389,4.389
2021,CENTRE VAL DE LOIRE,LOIR ET CHER,Agricole autonome,9.854961,9.854961
2021,ILE DE FRANCE,SEINE ET MARNE,Agricole territorial,5.272372000000001,5.272372000000001
2018,PAYS DE LA LOIRE,VENDEE,Agricole autonome,6.388,6.388
2014,ILE DE FRANCE,SEINE ET MARNE,Agricole autonome,6.678666666666667,20.036
2020,BRETAGNE,FINISTERE,Agricole autonome,4.368,17.472
2019,BRETAGNE,MORBIHAN,Installation de stockage des déchets non dangereux (ISDND),6.76,13.52
2019,ILE DE FRANCE,SEINE ET MARNE,Agricole autonome,14.785777777777778,133.072
2016,GRAND EST,MOSELLE,Agricole territorial,2.117,2.117
2021,GRAND EST,HAUT RHIN,Agricole autonome,3.074832,3.074832
2021,BRETAGNE,MORBIHAN,Agricole territorial,11.460456,11.460456
2015,HAUTS DE FRANCE,PAS DE CALAIS,Agricole autonome,3.578,3.578
2021,CENTRE VAL DE LOIRE,INDRE ET LOIRE,Boues de stations d'épuration (STEP),8.438013999999999,8.438013999999999
2021,AUVERGNE RHONE ALPES,DROME,Agricole territorial,5.573982,5.573982
2020,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Boues de stations d'épuration (STEP),8.325000000000001,16.650000000000002
2019,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole autonome,5.96,5.96
2017,HAUTS DE FRANCE,OISE,Installation de stockage des déchets non dangereux (ISDND),5.3,5.3
2018,OCCITANIE,TARN,Agricole autonome,2.569,2.569
2019,PAYS DE LA LOIRE,VENDEE,Agricole autonome,7.289,7.289
2018,CENTRE VAL DE LOIRE,EURE ET LOIR,Agricole autonome,1.837,1.837
2020,PAYS DE LA LOIRE,MAINE ET LOIRE,Boues de stations d'épuration (STEP),14.016,14.016
2020,HAUTS DE FRANCE,AISNE,Agricole territorial,15.744,31.488
2021,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,17.783268,17.783268
2021,NOUVELLE AQUITAINE,VIENNE,Agricole autonome,12.895953500000001,25.791907000000002
2020,PAYS DE LA LOIRE,SARTHE,Agricole autonome,16.336,16.336
2021,AUVERGNE RHONE ALPES,AIN,Agricole territorial,3.5236840000000003,3.5236840000000003
2021,OCCITANIE,PYRENEES ORIENTALES,Industriel territorial,35.230494,35.230494
2020,CENTRE VAL DE LOIRE,LOIR ET CHER,Agricole autonome,10.37,10.37
2018,AUVERGNE RHONE ALPES,RHONE,Boues de stations d'épuration (STEP),0.145,0.145
2018,PAYS DE LA LOIRE,MAINE ET LOIRE,Agricole autonome,8.321,8.321
2021,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,1.868935,1.868935
2020,HAUTS DE FRANCE,NORD,Agricole autonome,5.085500000000001,10.171000000000001
2021,NOUVELLE AQUITAINE,LOT ET GARONNE,Agricole territorial,0.20562200000000003,0.20562200000000003
2021,GRAND EST,BAS RHIN,Agricole territorial,13.938772,13.938772
2021,AUVERGNE RHONE ALPES,RHONE,Agricole autonome,3.8556709999999996,3.8556709999999996
2021,GRAND EST,AUBE,Agricole territorial,25.474222,50.948444
2021,GRAND EST,MOSELLE,Agricole autonome,37.4362555,74.872511
2020,BRETAGNE,ILLE ET VILAINE,Agricole territorial,0.845,1.69
2017,BOURGOGNE FRANCHE COMTE,YONNE,Installation de stockage des déchets non dangereux (ISDND),9.119,9.119
2021,AUVERGNE RHONE ALPES,DROME,Agricole autonome,7.8716795,15.743359
2021,PAYS DE LA LOIRE,VENDEE,Agricole territorial,18.7860042,93.930021
2018,AUVERGNE RHONE ALPES,ALLIER,Agricole autonome,1.32,1.32
